STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
545110,99999, 20160718,   78.4,24,   71.2,24, 9999.9, 0, 9999.9, 0,   3.7,20,   2.8,24,   7.8, 999.9,   86.0*,  74.8 , 0.10G,999.9, 010000,
545110,99999, 20160719,   75.1,24,   71.2,24, 9999.9, 0, 9999.9, 0,   2.4,24,   4.3,24,  11.7, 999.9,   77.0*,  70.3*, 1.33G,999.9, 010000,
545110,99999, 20160720,   71.8,24,   69.9,24, 9999.9, 0, 9999.9, 0,   4.1,24,   9.3,24,  15.5,  29.1,   73.4*,  70.3 ,10.34G,999.9, 010000,
545110,99999, 20160721,   76.0,24,   74.1,24, 9999.9, 0, 9999.9, 0,   4.2,24,   2.9,24,   7.8, 999.9,   80.6*,  71.6 , 0.58G,999.9, 110000,
545110,99999, 20160722,   82.4,24,   75.6,24, 9999.9, 0, 9999.9, 0,   4.3,24,   3.7,24,   9.7, 999.9,   87.8*,  74.3 , 0.00I,999.9, 000000,
545110,99999, 20160723,   81.9,24,   76.3,24, 9999.9, 0, 9999.9, 0,   3.5,19,   4.7,24,  23.3,  33.0,   92.3*,  73.4*,99.99 ,999.9, 010010,
545110,99999, 20160724,   84.4,24,   76.8,24, 9999.9, 0, 9999.9, 0,   4.6,22,   3.6,24,  11.7, 999.9,   93.2*,  75.2*, 0.48G,999.9, 010010,
545110,99999, 20160725,   81.5,24,   72.5,24, 9999.9, 0, 9999.9, 0,   5.8, 8,   5.0,24,   9.7,  19.4,   89.6*,  73.4*, 0.02G,999.9, 010000,
545110,99999, 20160726,   83.5,24,   69.5,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   3.3,24,   7.8, 999.9,   93.2*,  72.7 , 0.00G,999.9, 000000,
545110,99999, 20160727,   82.3,24,   72.2,24, 9999.9, 0, 9999.9, 0,   4.6, 4,   5.2,24,  27.2, 999.9,   95.0*,  71.6*, 0.29G,999.9, 010010,
545110,99999, 20160728,   83.8,24,   74.3,24, 9999.9, 0, 9999.9, 0,   3.5,13,   3.6,24,   7.8, 999.9,   91.4*,  72.5 , 0.28E,999.9, 000000,
545110,99999, 20160729,   84.4,24,   77.2,24, 9999.9, 0, 9999.9, 0,   2.7,24,   4.1,24,   7.8, 999.9,   91.8*,  78.8*,99.99 ,999.9, 010010,
545110,99999, 20160730,   79.2,24,   74.3,24, 9999.9, 0, 9999.9, 0,   2.8,18,   4.5,24,   9.7,  15.5,   89.6*,  71.6*, 0.00G,999.9, 010010,
545110,99999, 20160731,   78.8,24,   74.0,24, 9999.9, 0, 9999.9, 0,   4.7,24,   3.6,24,   9.7, 999.9,   82.8*,  73.4*,99.99 ,999.9, 010000,
545110,99999, 20160801,   82.5,24,   74.9,24, 9999.9, 0, 9999.9, 0,   4.6, 8,   3.7,24,   7.8, 999.9,   89.6*,  75.2*, 0.00G,999.9, 010000,
545110,99999, 20160802,   84.5,24,   72.4,24, 9999.9, 0, 9999.9, 0,   2.8, 6,   4.1,24,   7.8, 999.9,   93.2*,  75.2*, 0.00I,999.9, 000000,
545110,99999, 20160803,   86.7,24,   74.5,24, 9999.9, 0, 9999.9, 0,   3.0,11,   3.5,24,   5.8, 999.9,   96.8*,  77.2 , 0.00I,999.9, 000000,
545110,99999, 20160804,   85.0,24,   75.5,24, 9999.9, 0, 9999.9, 0,   3.2,24,   4.5,24,   7.8, 999.9,   93.2*,  77.0*, 0.00I,999.9, 000000,
545110,99999, 20160805,   84.1,24,   75.5,24, 9999.9, 0, 9999.9, 0,   3.7,21,   3.7,24,   7.8, 999.9,   91.4*,  77.0*, 0.00I,999.9, 000000,
545110,99999, 20160806,   83.5,24,   75.1,24, 9999.9, 0, 9999.9, 0,   4.3,22,   5.4,24,   9.7,  19.4,   91.4*,  73.4*,99.99 ,999.9, 010010,
545110,99999, 20160807,   80.4,24,   72.0,24, 9999.9, 0, 9999.9, 0,   5.1, 8,   3.8,24,   7.8, 999.9,   89.6*,  73.4*, 0.11G,999.9, 010000,
545110,99999, 20160808,   80.9,24,   67.1,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   3.9,24,   9.7, 999.9,   91.4*,  68.0*, 0.00I,999.9, 000000,
545110,99999, 20160809,   83.5,24,   71.6,24, 9999.9, 0, 9999.9, 0,   3.8,15,   4.5,24,  11.7, 999.9,   89.6*,  71.2 , 0.00I,999.9, 000000,
545110,99999, 20160810,   86.6,24,   76.4,24, 9999.9, 0, 9999.9, 0,   4.4,22,   6.3,24,   9.7, 999.9,   93.2*,  78.4 , 0.00I,999.9, 000000,
545110,99999, 20160811,   88.1,24,   79.2,24, 9999.9, 0, 9999.9, 0,   3.6,24,   4.6,24,   9.7, 999.9,   95.0*,  80.4 ,99.99 ,999.9, 010000,
545110,99999, 20160812,   80.4,24,   74.9,24, 9999.9, 0, 9999.9, 0,   3.5, 7,   5.1,24,  13.6, 999.9,   91.4*,  75.2*, 1.98G,999.9, 010010,
545110,99999, 20160813,   79.8,24,   66.6,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   6.2,24,  13.6,  23.3,   89.6*,  69.8*, 0.00G,999.9, 010000,
545110,99999, 20160814,   84.4,24,   68.5,24, 9999.9, 0, 9999.9, 0,   6.7, 7,   4.5,24,   9.7, 999.9,   93.2*,  69.8*, 0.15G,999.9, 010000,
545110,99999, 20160815,   74.4,24,   64.1,24, 9999.9, 0, 9999.9, 0,   6.2, 5,   4.3,24,   7.8,  19.4,   82.4*,  66.2*, 0.07G,999.9, 010000,
545110,99999, 20160816,   81.0,24,   68.5,24, 9999.9, 0, 9999.9, 0,   6.4, 4,   4.4,24,   7.8, 999.9,   89.6*,  67.3 , 0.00G,999.9, 000000,
545110,99999, 20160817,   77.4,24,   72.6,24, 9999.9, 0, 9999.9, 0,   3.1,24,   2.6,24,   5.8,  11.7,   82.4*,  74.7 , 0.00G,999.9, 010000,
545110,99999, 20160818,   73.8,24,   71.1,24, 9999.9, 0, 9999.9, 0,   2.1,18,   5.7,24,   9.7, 999.9,   78.8*,  71.6*, 0.70G,999.9, 010000,
545110,99999, 20160819,   81.5,24,   69.9,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   5.0,24,  11.7, 999.9,   91.4*,  71.6*, 0.62G,999.9, 000000,
545110,99999, 20160820,   80.2,24,   68.8,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   3.2,24,   5.8, 999.9,   89.6*,  71.6*, 0.00G,999.9, 000000,
545110,99999, 20160821,   83.5,24,   72.3,24, 9999.9, 0, 9999.9, 0,   2.9, 5,   4.4,24,   7.8, 999.9,   93.2*,  74.3 , 0.00I,999.9, 000000,
545110,99999, 20160822,   83.7,24,   67.6,24, 9999.9, 0, 9999.9, 0,   4.1, 5,   4.9,24,   9.7, 999.9,   93.2*,  75.2 , 0.00I,999.9, 000000,
545110,99999, 20160823,   79.6,24,   69.2,24, 9999.9, 0, 9999.9, 0,   3.7, 8,   3.6,24,   5.8, 999.9,   86.0*,  73.4*, 0.01G,999.9, 010000,
545110,99999, 20160824,   82.8,24,   70.8,24, 9999.9, 0, 9999.9, 0,   4.2, 8,   4.8,24,  13.6,  17.5,   89.6*,  76.5 ,99.99 ,999.9, 010000,
545110,99999, 20160825,   73.1,24,   51.4,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   7.6,24,  17.5,  27.2,   86.0*,  59.0*, 0.00I,999.9, 000000,
545110,99999, 20160826,   74.5,24,   50.9,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   4.9,24,   9.7,  17.5,   87.8*,  60.8 , 0.00I,999.9, 000000,
545110,99999, 20160827,   75.9,24,   50.8,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   5.7,24,  17.5,  19.4,   91.4*,  60.8*,99.99 ,999.9, 010000,
545110,99999, 20160828,   77.3,24,   51.4,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   4.7,24,   9.7,  15.5,   91.4*,  60.8*, 0.00I,999.9, 000000,
545110,99999, 20160829,   76.7,24,   56.0,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   3.7,24,   7.8, 999.9,   87.8*,  64.4*, 0.00I,999.9, 000000,
545110,99999, 20160830,   76.4,24,   58.9,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   4.1,24,   9.7, 999.9,   91.4*,  62.6*,99.99 ,999.9, 010000,
545110,99999, 20160831,   84.8,24,   34.2,24, 9999.9, 0, 9999.9, 0, 999.9, 0,  13.0,24,  21.4,  31.1,   96.8*,  64.6 , 0.00I,999.9, 000000,
545110,99999, 20160901,   72.8,24,   53.2,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   4.9,24,  19.4,  23.3,   78.8*,  66.2*,99.99 ,999.9, 010000,
545110,99999, 20160902,   74.9,24,   60.5,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   4.4,24,   9.7,  15.5,   86.0*,  66.2*,99.99 ,999.9, 010000,
545110,99999, 20160903,   78.4,24,   63.6,24, 9999.9, 0, 9999.9, 0,   4.5, 8,   4.2,24,   7.8,  19.4,   87.8*,  66.6 , 0.00I,999.9, 000000,
545110,99999, 20160904,   74.8,24,   64.4,24, 9999.9, 0, 9999.9, 0,   2.8, 7,   5.3,24,   9.7, 999.9,   86.0*,  62.6*, 0.00I,999.9, 000000,
545110,99999, 20160905,   76.2,24,   59.5,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   5.3,24,  11.7,  21.4,   89.6*,  64.4*, 0.00I,999.9, 000000,
545110,99999, 20160906,   79.9,24,   56.5,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   6.0,24,  13.6,  17.5,   89.6*,  68.0*, 0.01G,999.9, 010000,
545110,99999, 20160907,   73.1,24,   59.9,24, 9999.9, 0, 9999.9, 0,   5.8, 5,   5.1,24,  13.6,  17.5,   86.0*,  60.8*, 0.41G,999.9, 010010,
545110,99999, 20160908,   76.3,24,   55.1,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   5.3,24,   9.7,  21.4,   91.4*,  60.8*, 0.04E,999.9, 000000,
545110,99999, 20160909,   75.6,24,   55.1,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   5.4,24,   9.7,  17.5,   89.6*,  60.8*, 0.00I,999.9, 000000,
545110,99999, 20160910,   75.8,24,   57.0,24, 9999.9, 0, 9999.9, 0,   5.9,10,   5.2,24,  11.7,  21.4,   87.8*,  60.8*, 0.14G,999.9, 010010,
545110,99999, 20160911,   69.6,24,   61.9,24, 9999.9, 0, 9999.9, 0,   5.5, 5,   3.8,24,   7.8, 999.9,   77.0*,  62.6*, 0.00A,999.9, 000010,
545110,99999, 20160912,   73.1,24,   62.1,24, 9999.9, 0, 9999.9, 0,   3.8, 8,   3.8,24,   9.7, 999.9,   82.4*,  62.6 ,99.99 ,999.9, 010010,
545110,99999, 20160913,   72.1,24,   65.8,24, 9999.9, 0, 9999.9, 0,   2.6,21,   2.8,24,   5.8, 999.9,   81.0*,  64.4*, 0.00I,999.9, 000000,
545110,99999, 20160914,   73.3,24,   65.5,24, 9999.9, 0, 9999.9, 0,   3.2,15,   3.6,24,  17.5,  27.2,   86.0*,  64.4*,99.99 ,999.9, 010010,
545110,99999, 20160915,   76.4,24,   66.6,24, 9999.9, 0, 9999.9, 0,   3.0,19,   3.5,24,   7.8, 999.9,   86.0*,  68.0*, 0.00I,999.9, 000000,
545110,99999, 20160916,   74.7,24,   66.8,24, 9999.9, 0, 9999.9, 0,   3.0,20,   3.4,24,  13.6,  29.1,   86.0*,  66.2*,99.99 ,999.9, 010010,
545110,99999, 20160917,   68.8,24,   62.1,24, 9999.9, 0, 9999.9, 0,   5.5, 8,   3.1,24,  11.7, 999.9,   73.4*,  64.4*, 0.40G,999.9, 010010,
545110,99999, 20160918,   63.0,24,   57.2,24, 9999.9, 0, 9999.9, 0,   6.0, 5,   5.6,24,   9.7, 999.9,   73.4*,  53.6*, 0.39E,999.9, 010000,
545110,99999, 20160919,   65.6,24,   50.2,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   5.3,24,  11.7,  15.5,   78.8*,  51.8*, 0.00I,999.9, 000000,
545110,99999, 20160920,   67.0,24,   51.8,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   3.6,24,   9.7, 999.9,   80.6*,  55.9 ,99.99 ,999.9, 010000,
545110,99999, 20160921,   64.5,24,   57.6,24, 9999.9, 0, 9999.9, 0,   4.6,12,   3.0,24,   5.8, 999.9,   74.3*,  59.0*,99.99 ,999.9, 010000,
545110,99999, 20160922,   68.0,24,   61.1,24, 9999.9, 0, 9999.9, 0,   3.4,24,   3.1,24,   7.8, 999.9,   77.0*,  59.7 , 0.19G,999.9, 110010,
545110,99999, 20160923,   70.2,24,   63.2,24, 9999.9, 0, 9999.9, 0,   2.8,22,   4.0,24,   9.7, 999.9,   78.8*,  62.6*, 0.14G,999.9, 110010,
545110,99999, 20160924,   72.6,24,   64.9,24, 9999.9, 0, 9999.9, 0,   2.2,19,   3.0,24,   5.8, 999.9,   80.6*,  64.0 , 0.15G,999.9, 000000,
545110,99999, 20160925,   72.2,24,   64.7,24, 9999.9, 0, 9999.9, 0,   2.5,24,   4.5,24,   9.7,  19.4,   79.7*,  64.4*, 0.83G,999.9, 010010,
545110,99999, 20160926,   66.3,24,   61.8,24, 9999.9, 0, 9999.9, 0,   3.5,21,   5.6,24,  23.3,  31.1,   71.6*,  60.8*, 0.20G,999.9, 110000,
545110,99999, 20160927,   60.0,24,   37.8,24, 9999.9, 0, 9999.9, 0, 999.9, 0,  10.3,24,  21.4,  33.0,   71.6*,  46.4*, 0.06G,999.9, 000000,
545110,99999, 20160928,   55.3,24,   38.5,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   3.9,24,   9.7,  15.5,   69.8*,  42.8*, 0.00G,999.9, 000000,
545110,99999, 20160929,   59.8,24,   45.6,24, 9999.9, 0, 9999.9, 0,   4.8,14,   4.0,24,   9.7, 999.9,   71.6*,  47.1 , 0.00I,999.9, 000000,
545110,99999, 20160930,   64.1,24,   50.9,24, 9999.9, 0, 9999.9, 0,   4.2,17,   3.4,24,   5.8,  13.6,   75.2*,  53.8 , 0.00I,999.9, 000000,
545110,99999, 20161001,   64.9,24,   55.3,24, 9999.9, 0, 9999.9, 0,   2.5,24,   2.8,24,   5.8, 999.9,   75.4*,  55.4*,99.99 ,999.9, 010000,
545110,99999, 20161002,   68.9,24,   59.5,24, 9999.9, 0, 9999.9, 0,   2.8,24,   3.4,24,   9.7, 999.9,   77.0*,  58.1 ,99.99 ,999.9, 010000,
545110,99999, 20161003,   71.6,24,   59.6,24, 9999.9, 0, 9999.9, 0,   4.1,22,   5.6,24,  15.5,  21.4,   84.2*,  60.8*,99.99 ,999.9, 010000,
545110,99999, 20161004,   59.0,24,   54.7,24, 9999.9, 0, 9999.9, 0,   4.9,19,   4.6,24,  11.7,  21.4,   63.7*,  53.6*, 0.25G,999.9, 010000,
545110,99999, 20161005,   60.9,24,   55.6,24, 9999.9, 0, 9999.9, 0,   3.9,24,   3.9,24,   9.7, 999.9,   69.8*,  53.6*,99.99 ,999.9, 010000,
545110,99999, 20161006,   58.5,24,   54.1,24, 9999.9, 0, 9999.9, 0,   4.8,24,   5.2,24,   9.7, 999.9,   64.6*,  53.6*, 0.95G,999.9, 010000,
545110,99999, 20161007,   55.1,24,   46.6,24, 9999.9, 0, 9999.9, 0,   2.6,15,   6.6,24,  17.5,  23.3,   59.0*,  48.2*, 0.53G,999.9, 010000,
545110,99999, 20161008,   49.6,24,   33.5,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   7.1,24,  19.4,  29.1,   64.4*,  39.2*, 0.30G,999.9, 000000,
545110,99999, 20161009,   49.6,24,   38.6,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   3.5,24,  11.7, 999.9,   64.4*,  41.0*, 0.00G,999.9, 000000,
545110,99999, 20161010,   53.3,24,   45.4,24, 9999.9, 0, 9999.9, 0,   3.0,20,   3.3,24,   7.8, 999.9,   64.4*,  43.0 , 0.00I,999.9, 000000,
545110,99999, 20161011,   57.8,24,   48.8,24, 9999.9, 0, 9999.9, 0,   3.4,17,   3.8,24,   9.7, 999.9,   66.2*,  47.1 ,99.99 ,999.9, 010000,
545110,99999, 20161012,   56.9,24,   50.6,24, 9999.9, 0, 9999.9, 0,   3.6,24,   2.6,24,   7.8, 999.9,   64.6*,  48.2*, 0.00I,999.9, 000000,
545110,99999, 20161013,   60.1,24,   54.9,24, 9999.9, 0, 9999.9, 0,   1.6,24,   2.7,24,   3.9, 999.9,   69.8*,  50.0 , 0.00I,999.9, 100000,
545110,99999, 20161014,   57.7,24,   54.6,24, 9999.9, 0, 9999.9, 0,   1.1,24,   2.8,24,   5.8, 999.9,   70.5*,  48.2*, 0.00I,999.9, 100000,
545110,99999, 20161015,   59.0,24,   55.3,24, 9999.9, 0, 9999.9, 0,   1.7,24,   2.5,24,   5.8, 999.9,   62.6*,  51.4 , 0.01G,999.9, 010000,
545110,99999, 20161016,   57.7,24,   53.6,24, 9999.9, 0, 9999.9, 0,   2.2,24,   4.0,24,  11.7, 999.9,   67.1*,  46.4*, 0.01E,999.9, 100000,
545110,99999, 20161017,   61.7,24,   48.5,24, 9999.9, 0, 9999.9, 0,   3.9, 6,   3.8,24,   7.8, 999.9,   71.6*,  50.5 , 0.00I,999.9, 000000,
545110,99999, 20161018,   60.8,24,   56.7,24, 9999.9, 0, 9999.9, 0,   2.0,24,   2.4,24,   5.8, 999.9,   64.4*,  56.7 , 0.00I,999.9, 000000,
545110,99999, 20161019,   61.6,24,   57.3,24, 9999.9, 0, 9999.9, 0,   1.3,24,   3.6,24,  11.7, 999.9,   68.0*,  55.4*, 0.00I,999.9, 100000,
545110,99999, 20161020,   54.5,24,   45.9,24, 9999.9, 0, 9999.9, 0,   5.0,16,   5.8,24,  13.6,  19.4,   59.0*,  50.0*, 0.17G,999.9, 010000,
545110,99999, 20161021,   52.0,24,   48.3,24, 9999.9, 0, 9999.9, 0,   3.2,15,   3.9,24,   7.8,  17.5,   55.4*,  49.8*, 0.28G,999.9, 010000,
545110,99999, 20161022,   50.5,24,   39.5,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   5.7,24,   9.7, 999.9,   59.0*,  41.0*, 0.04E,999.9, 000000,
545110,99999, 20161023,   50.0,24,   38.7,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   2.8,24,   7.8,  11.7,   60.8*,  41.0*, 0.00I,999.9, 000000,
545110,99999, 20161024,   47.6,24,   43.7,24, 9999.9, 0, 9999.9, 0,   3.2,23,   2.4,24,   5.8, 999.9,   53.1*,  41.0*, 0.00G,999.9, 110000,
545110,99999, 20161025,   53.0,24,   45.6,24, 9999.9, 0, 9999.9, 0,   3.6,22,   4.6,24,   9.7, 999.9,   64.4*,  41.9 , 0.00I,999.9, 000000,
545110,99999, 20161026,   53.8,24,   33.1,24, 9999.9, 0, 9999.9, 0,   7.9, 7,   5.9,24,  11.7,  15.5,   64.4*,  48.2*,99.99 ,999.9, 010000,
545110,99999, 20161027,   46.7,24,   41.0,24, 9999.9, 0, 9999.9, 0,   5.1,15,   4.9,24,   9.7,  17.5,   50.0*,  37.4*, 0.57G,999.9, 010000,
545110,99999, 20161028,   43.9,24,   21.4,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   8.7,24,  19.4,  29.1,   55.4*,  28.4*, 0.03E,999.9, 000000,
545110,99999, 20161029,   42.7,24,   27.0,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   5.0,24,  13.6, 999.9,   55.4*,  32.5 , 0.00I,999.9, 000000,
545110,99999, 20161030,   42.3,24,   18.1,24, 9999.9, 0, 9999.9, 0,   4.2, 5,   9.6,24,  19.4,  27.2,   53.6*,  26.6*, 0.00I,999.9, 000000,
545110,99999, 20161031,   35.7,24,    5.7,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   7.2,24,  15.5,  25.3,   44.6*,  21.2*, 0.00I,999.9, 000000,
545110,99999, 20161101,   34.9,24,   21.2,24, 9999.9, 0, 9999.9, 0,   4.6, 7,   2.7,24,   7.8,  19.4,   46.4*,  24.8 , 0.00I,999.9, 000000,
545110,99999, 20161102,   40.5,24,   27.7,24, 9999.9, 0, 9999.9, 0,   4.2,13,   3.6,24,   9.7,  17.5,   55.4*,  28.4*, 0.00I,999.9, 000000,
545110,99999, 20161103,   40.5,24,   35.3,24, 9999.9, 0, 9999.9, 0,   1.5,24,   2.9,24,   5.8,  15.5,   53.6*,  30.2*, 0.00I,999.9, 100000,
545110,99999, 20161104,   43.5,24,   41.0,24, 9999.9, 0, 9999.9, 0,   0.5,24,   3.4,24,   7.8, 999.9,   53.6*,  32.0*,99.99 ,999.9, 110000,
545110,99999, 20161105,   47.5,24,   39.0,24, 9999.9, 0, 9999.9, 0,   2.8,22,   4.9,24,  13.6, 999.9,   64.4*,  39.2*, 0.00I,999.9, 100000,
545110,99999, 20161106,   44.8,24,   28.8,24, 9999.9, 0, 9999.9, 0,   5.6, 4,   5.4,24,   9.7, 999.9,   50.0*,  39.2*,99.99 ,999.9, 010000,
545110,99999, 20161107,   43.8,24,   21.6,24, 9999.9, 0, 9999.9, 0, 999.9, 0,  10.4,24,  19.4,  33.0,   55.4*,  26.6*, 0.02G,999.9, 000000,
545110,99999, 20161108,   39.1,24,   25.2,24, 9999.9, 0, 9999.9, 0,   4.4,13,   3.2,24,   7.8,  19.4,   52.2*,  28.4*, 0.00G,999.9, 000000,
545110,99999, 20161109,   40.4,24,   33.6,24, 9999.9, 0, 9999.9, 0,   2.0,24,   3.5,24,   7.8, 999.9,   44.6*,  32.0*, 0.00I,999.9, 000000,
545110,99999, 20161110,   41.5,23,   30.9,22, 9999.9, 0, 9999.9, 0,   2.2,16,   4.6,23,  15.5,  23.3,   51.8*,  30.2*, 0.02G,999.9, 110000,
545110,99999, 20161112,   46.8,24,   35.0,24, 9999.9, 0, 9999.9, 0,   4.6,10,   3.6,24,   7.8, 999.9,   55.4*,  33.1 , 0.00I,999.9, 000000,
545110,99999, 20161113,   45.4,24,   38.8,24, 9999.9, 0, 9999.9, 0,   2.6,24,   3.4,24,  15.5,  25.3,   48.6*,  39.2*, 0.00I,999.9, 000000,
545110,99999, 20161114,   45.2,22,    8.3,21, 9999.9, 0, 9999.9, 0, 999.9, 0,   7.9,21,  19.4,  21.4,   57.2*,  26.6*, 0.00I,999.9, 000000,
545110,99999, 20161115,   40.0,24,   24.9,24, 9999.9, 0, 9999.9, 0,   4.2,13,   3.7,24,   7.8, 999.9,   50.9*,  29.3 , 0.00I,999.9, 000000,
545110,99999, 20161116,   41.6,24,   31.6,24, 9999.9, 0, 9999.9, 0,   3.3,20,   3.1,24,   9.7, 999.9,   53.6*,  33.8*, 0.00I,999.9, 000000,
545110,99999, 20161117,   43.0,24,   32.2,24, 9999.9, 0, 9999.9, 0,   3.1,24,   2.7,24,   3.9, 999.9,   44.6*,  38.7 , 0.00I,999.9, 000000,
545110,99999, 20161118,   43.7,24,   40.8,24, 9999.9, 0, 9999.9, 0,   1.1,24,   2.8,24,   9.7, 999.9,   46.4*,  39.2*, 0.01G,999.9, 110000,
545110,99999, 20161119,   47.7,24,   33.9,24, 9999.9, 0, 9999.9, 0,   4.4,14,   6.0,24,   9.7, 999.9,   60.1*,  37.4*, 0.01E,999.9, 010000,
545110,99999, 20161120,   34.7,24,   30.3,24, 9999.9, 0, 9999.9, 0,   3.9,24,   8.3,24,  15.5,  27.2,   39.2*,  28.4*, 0.22G,999.9, 011000,
545110,99999, 20161121,   26.7,24,    5.3,24, 9999.9, 0, 9999.9, 0,   5.4, 4,  16.9,24,  23.3,  35.0,   33.8*,  19.4*, 0.05G,999.9, 001000,
545110,99999, 20161122,   25.9,24,    2.5,24, 9999.9, 0, 9999.9, 0, 999.9, 0,  10.4,24,  17.5,  33.0,   32.0*,  15.8*, 0.02G,999.9, 000000,
545110,99999, 20161123,   28.8,23,    4.0,23, 9999.9, 0, 9999.9, 0, 999.9, 0,   7.2,23,  17.5,  27.2,   37.4*,  15.8*, 0.00G,999.9, 000000,
